MinFreq Project Subtype Gene Syn MeanDivPerSitePerDay SEDivPerSitePerDay
0.02 flu-McCrone H3N2 4-HA-antigenic-Wiley Stop 0 0
0.02 flu-McCrone H3N2 4-HA-antigenic-Wolf NS 5.40185916075164e-06 1.94930039020454e-06
0.02 flu-McCrone H3N2 4-HA-antigenic-Wolf S 1.50530209431063e-05 9.19380966457672e-06
0.02 flu-McCrone H3N2 4-HA-antigenic-Wolf Stop 0 0
0.02 flu-McCrone H3N2 4-HA-nonantigenic-Wiley NS 4.74591802498733e-06 1.3397849327273e-06
0.02 flu-McCrone H3N2 4-HA-nonantigenic-Wiley S 7.51670665912694e-06 2.48955548840436e-06
0.02 flu-McCrone H3N2 4-HA-nonantigenic-Wiley Stop 0 0
0.02 flu-McCrone H3N2 4-HA-nonantigenic-Wolf NS 4.76639037459639e-06 1.56439355659581e-06
0.02 flu-McCrone H3N2 4-HA-nonantigenic-Wolf S 4.78226432486404e-06 1.32752790569147e-06
0.02 flu-McCrone H3N2 4-HA-nonantigenic-Wolf Stop 0 0
0.02 flu-McCrone H3N2 5-NP NS 2.04648261145133e-06 7.86516170709454e-07
0.02 flu-McCrone H3N2 5-NP S 1.05455707547825e-05 3.32712921973222e-06
0.02 flu-McCrone H3N2 5-NP Stop 0 0
0.02 flu-McCrone H3N2 6-NA NS 7.67601592621433e-06 2.58965305017739e-06
0.02 flu-McCrone H3N2 6-NA S 7.7514025944672e-06 2.52347823844693e-06
0.02 flu-McCrone H3N2 6-NA Stop 0 0
0.02 flu-McCrone H3N2 6-NA-nonsurface-Bhatt NS 2.69176653742145e-06 1.60565616229796e-06
0.02 flu-McCrone H3N2 6-NA-nonsurface-Bhatt S 1.0148565621072e-05 4.12905623501365e-06
0.02 flu-McCrone H3N2 6-NA-nonsurface-Bhatt Stop 0 0
0.02 flu-McCrone H3N2 6-NA-surface-Bhatt NS 1.31497898085494e-05 4.35028194941774e-06
0.02 flu-McCrone H3N2 6-NA-surface-Bhatt S 5.11880391346365e-06 2.87296165490558e-06
0.02 flu-McCrone H3N2 6-NA-surface-Bhatt Stop 0 0
0.02 flu-McCrone H3N2 7-M1 NS 3.02121740832779e-06 1.31003931592926e-06
0.02 flu-McCrone H3N2 7-M1 S 1.34132160535113e-05 6.92131967845925e-06
0.02 flu-McCrone H3N2 7-M1 Stop 0 0
0.02 flu-McCrone H3N2 7-M2 NS 6.69835252243851e-06 3.9003307345348e-06
0.02 flu-McCrone H3N2 7-M2 S 4.41558608165747e-06 3.19812049401497e-06
0.02 flu-McCrone H3N2 7-M2 Stop 0 0
0.02 flu-McCrone H3N2 8-NEP NS 1.79239142299035e-06 1.01898285393765e-06
0.02 flu-McCrone H3N2 8-NEP S 1.39211104311459e-05 9.62053780484195e-06
0.02 flu-McCrone H3N2 8-NEP Stop 0 0
0.02 flu-McCrone H3N2 8-NS1 NS 4.68035064914382e-06 2.04646053653067e-06
0.02 flu-McCrone H3N2 8-NS1 S 1.11194406005229e-05 6.41795925288457e-06
0.02 flu-McCrone H3N2 8-NS1 Stop 0 0
